家族	かぞく
似る	にる
用	よう
元気	げんき
後	ご
に対して	にたいして
生む	うむ
思い	おもい
なかなか	なかなか
たくさん	たくさん
目的	もくてき
合う	あう
生活	せいかつ
方法	ほうほう
なくなる	なくなる
切る	きる
分	ぶん
つく	つく
としては	としては
十分	じゅうぶん
働く	はたらく
若い	わかい
歳	さい
調べる	しらべる
急ぐ	いそぐ
必ず	かならず
かどうか	かどうか
途中	とちゅう
側	がわ
見つかる	みつかる
重い	おもい
期待	きたい
集まる	あつまる
その後	そのあと
とる	とる
ないと	ないと
考え	かんがえ
住む	すむ
大切	たいせつ
毎日	まいにち
広い	ひろい
やすい	やすい
自由	じゆう
になると	になると
ないか	ないか
原因	げんいん
けど	けど
俺	おれ
ああ	ああ
はい	はい
じゃ	じゃ
うん	うん
お前	おまえ
彼女	かのじょ
みたい	みたい
大丈夫	だいじょうぶ
ちゃん	ちゃん
よね	よね
わかる	わかる
え	え
あっ	あっ
僕	ぼく
なんか	なんか
ください	ください
笑う	わらう
なんだ	なんだ
no	data
じゃあ	じゃあ
分かる	わかる
様	さま
まあ	まあ
だろ	だろ
ええ	ええ
女	おんな
君	きみ
君	くん
だけど	だけど
二人	ふたり
者	もの
やっぱり	やっぱり
でしょ	でしょ
えっ	えっ
ちゃんと	ちゃんと
こっち	こっち
すごい	すごい
確かに	たしかに
聞こえる	きこえる
なんで	なんで
先生	せんせい
だろうか	だろうか
まさか	まさか
ようだ	ようだ
ねえ	ねえ
そうだ	そうだ
なんです	なんです
けれど	けれど
なに	なに
まるで	まるで
他	ほか
殺す	ころす
事	こと
じゃないか	じゃないか
胸	むね
さっき	さっき
no	data
思い出す	おもいだす
へと	へと
あんた	あんた
おい	おい
一番	いちばん
一人	ひとり
ありがとう	ありがとう
そうか	そうか
頼む	たのむ
一つ	ひとつ
表情	ひょうじょう
ごめん	ごめん
怖い	こわい
良い	よい
ゆっくり	ゆっくり
つまり	つまり
だったら	だったら
腕	うで
それから	それから
ほら	ほら
あ	あ
欲しい	ほしい
やはり	やはり
確認	かくにん
そうです	そうです
全部	ぜんぶ
何度	なんど
そんなに	そんなに
ほう	ほう
子供	こども
二	に
光	ひかり
おかしい	おかしい
寝る	ねる
なのだ	なのだ
なるほど	なるほど
もん	もん
小さな	ちいさな
瞬間	しゅんかん
気がする	きがする
今まで	いままで
優しい	やさしい
嫌	いや
あいつ	あいつ
ううん	ううん
明日	あした
泣く	なく
頑張る	がんばる
怒る	おこる
はずだ	はずだ
あんな	あんな
娘	むすめ
今回	こんかい
やつ	やつ
昨日	きのう
ですから	ですから
かしら	かしら
変	へん
探す	さがす
しかも	しかも
返す	かえす
国	くに
なあ	なあ
当然	とうぜん
座る	すわる
でしょうか	でしょうか
つつ	つつ
ではある	ではある
黙る	だまる
気づく	きづく
しばらく	しばらく
いえ	いえ
隠す	かくす
気になる	きになる
奥	おく
向ける	むける
笑顔	えがお
かなり	かなり
軽い	かるい
目の前	めのまえ
お願い	おねがい
開ける	あける
せい	せい
まったく	まったく
女の子	おんなのこ
こんなに	こんなに
しかない	しかない
ならば	ならば
とにかく	とにかく
ことはない	ことはない
痛い	いたい
敵	てき
一	いち
実は	じつは
後ろ	うしろ
そこまで	そこまで
物	もの
さらに	さらに
髪	かみ
no	data
一瞬	いっしゅん
落ち着く	おちつく
どうした	どうした
隣	となり
不思議	ふしぎ
戦う	たたかう
さあ	さあ
こいつ	こいつ
現れる	あらわれる
そろそろ	そろそろ
私たち	わたしたち
記憶	きおく
彼ら	かれら
すべて	すべて
学校	がっこう
さえ	さえ
情報	じょうほう
意識	いしき
というのは	というのは
肩	かた
色	いろ
触れる	ふれる
勝つ	かつ
結局	けっきょく
三	さん
全然	ぜんぜん
上がる	あがる
げ	げ
動き	うごき
白い	しろい
指	ゆび
可能性	かのうせい
赤い	あかい
失礼	しつれい
幸せ	しあわせ
負ける	まける
背中	せなか
反応	はんのう
壁	かべ
どうやら	どうやら
いきなり	いきなり
空	そら
約束	やくそく
血	ち
服	ふく
恥ずかしい	はずかしい
過ぎる	すぎる
事実	じじつ
静か	しずか
すむ	すむ
行動	こうどう
突然	とつぜん
友達	ともだち
喜ぶ	よろこぶ
止まる	とまる
命	いのち
自身	じしん
想像	そうぞう
面白い	おもしろい
父	ちち
身	み
渡す	わたす
名	な
ようやく	ようやく
全員	ぜんいん
頃	ころ
そもそも	そもそも
空気	くうき
再び	ふたたび
着る	きる
母	はは
首	くび
美しい	うつくしい
一体	いったい
店	みせ
程度	ていど
届く	とどく
さて	さて
難しい	むずかしい
向こう	むこう
神	かみ
気分	きぶん
耳	みみ
ごめんなさい	ごめんなさい
通り	とおり
ひどい	ひどい
むしろ	むしろ
飛ぶ	とぶ
眠る	ねむる
仲間	なかま
でない	でない
さすがに	さすがに
山	やま
感情	かんじょう
ぐらい	ぐらい
結構	けっこう
すら	すら
危険	きけん
以前	いぜん
no	data
no	data
もう一度	もういちど
ありがとうございます	ありがとうございます
どうぞ	どうぞ
済む	すむ
とりあえず	とりあえず
任せる	まかせる
遅い	おそい
気にする	きにする
いくら	いくら
本気	ほんき
あら	あら
正直	しょうじき
動かす	うごかす
事件	じけん
きる	きる
そういえば	そういえば
おりる	おりる
起こす	おこす
周囲	しゅうい
海	うみ
すでに	すでに
叫ぶ	さけぶ
引く	ひく
返事	へんじ
逆	ぎゃく
捨てる	すてる
甘い	あまい
窓	まど
遊ぶ	あそぶ
結婚	けっこん
おお	おお
会話	かいわ
戻ってくる	もどってくる
どうしたの	どうしたの
邪魔	じゃま
腰	こし
その時	そのとき
うまい	うまい
握る	にぎる
確か	たしか
いっぱい	いっぱい
部分	ぶぶん
無事	ぶじ
せっかく	せっかく
風	かぜ
起こる	おこる
であろう	であろう
熱い	あつい
意外	いがい
これ以上	これいじょう
間違いない	まちがいない
流れる	ながれる
花	はな
涙	なみだ
やってくる	やってくる
倒れる	たおれる
人生	じんせい
一人で	ひとりで
もう少し	もうすこし
襲う	おそう
所	ところ
料理	りょうり
決して	けっして
愛する	あいする
黒い	くろい
冷たい	つめたい
合わせる	あわせる
楽しむ	たのしむ
自然	しぜん
納得	なっとく
周り	まわり
どうも	どうも
珍しい	めずらしい
いいから	いいから
どうしても	どうしても
疲れる	つかれる
必死	ひっし
前に	まえに
内	ない
追う	おう
激しい	はげしい
場	ば
食う	くう
慣れる	なれる
勢い	いきおい
答え	こたえ
落とす	おとす
同時に	どうじに
判断	はんだん
横	よこ
町	まち
報告	ほうこく
食事	しょくじ
緊張	きんちょう
金	かね
受け取る	うけとる
まずは	まずは
感謝	かんしゃ
no	data
者	しゃ
日本	にほん
つい	つい
並ぶ	ならぶ
避ける	さける
連絡	れんらく
奪う	うばう
過ごす	すごす
狙う	ねらう
向く	むく
諦める	あきらめる
足りる	たりる
いろいろ	いろいろ
そうする	そうする
話をする	はなしをする
望む	のぞむ
一応	いちおう
特別	とくべつ
救う	すくう
帰ってくる	かえってくる
時代	じだい
いらっしゃる	いらっしゃる
いつか	いつか
終わり	おわり
語る	かたる
繰り返す	くりかえす
助かる	たすかる
点	てん
ところで	ところで
運ぶ	はこぶ
素直	すなお
よし	よし
態度	たいど
失敗	しっぱい
とこ	とこ
全く	まったく
木	き
それぞれ	それぞれ
内容	ないよう
と言われる	といわれる
示す	しめす
妙	みょう
あんまり	あんまり
冗談	じょうだん
自ら	みずから
低い	ひくい
わざわざ	わざわざ
そっち	そっち
雰囲気	ふんいき
はっきり	はっきり
移動	いどう
過去	かこ
手伝う	てつだう
描く	えがく
余裕	よゆう
なんとか	なんとか
出会う	であう
と言う	という
みせる	みせる
やっと	やっと
嫌い	きらい
質問	しつもん
人々	ひとびと
どれ	どれ
現実	げんじつ
感覚	かんかく
正しい	ただしい
未来	みらい
興味	きょうみ
遠い	とおい
ながらも	ながらも
本人	ほんにん
能力	のうりょく
あの人	あのひと
っぽい	っぽい
それでは	それでは
と言った	といった
その場	そのば
事情	じじょう
暗い	くらい
あそこ	あそこ
んで	んで
休む	やすむ
一緒	いっしょ
おかげで	おかげで
なさる	なさる
息	いき
これまで	これまで
予定	よてい
伝わる	つたわる
距離	きょり
どうせ	どうせ
多く	おおく
残念	ざんねん
ま	ま
終える	おえる
覚悟	かくご
勉強	べんきょう
さすが	さすが
上	じょう
分	ふん
風	ふう
no	data
だけに	だけに
自信	じしん
我慢	がまん
相談	そうだん
死	し
増える	ふえる
離す	はなす
半分	はんぶん
人物	じんぶつ
回る	まわる
親	おや
弱い	よわい
っけ	っけ
立てる	たてる
この人	このひと
といった	といった
降りる	おりる
打つ	うつ
席	せき
経験	けいけん
よろしく	よろしく
すっかり	すっかり
現在	げんざい
広がる	ひろがる
に対する	にたいする
振る	ふる
集める	あつめる
当たる	あたる
直接	ちょくせつ
数	かず
明るい	あかるい
ということは	ということは
件	けん
当たり前	あたりまえ
お金	おかね
抱える	かかえる
連れる	つれる
他人	たにん
母親	ははおや
忙しい	いそがしい
寂しい	さびしい
くださる	くださる
どうか	どうか
誘う	さそう
いたす	いたす
立場	たちば
そのため	そのため
他に	ほかに
大好き	だいすき
協力	きょうりょく
抜ける	ぬける
持ってくる	もってくる
のみ	のみ
詳しい	くわしい
押す	おす
愛	あい
だす	だす
もつ	もつ
変化	へんか
男性	だんせい
ような気がする	ようなきがする
車	くるま
断る	ことわる
利用	りよう
熱	ねつ
というもの	というもの
抱く	いだく
苦しい	くるしい
最高	さいこう
満足	まんぞく
無視	むし
余計	よけい
一気に	いっきに
どちら	どちら
成功	せいこう
限り	かぎり
代わりに	かわりに
ではないか	ではないか
父親	ちちおや
通る	とおる
暮らす	くらす
わけではない	わけではない
雨	あめ
写真	しゃしん
火	ひ
否定	ひてい
借りる	かりる
面倒	めんどう
人たち	ひとたち
厳しい	きびしい
危ない	あぶない
どっち	どっち
どうやって	どうやって
ときに	ときに
今から	いまから
参加	さんか
no	data
no	data
隠れる	かくれる
裏	うら
短い	みじかい
ちょうど	ちょうど
機会	きかい
恐ろしい	おそろしい
大人	おとな
売る	うる
輝く	かがやく
すぎ	すぎ
耐える	たえる
悲しい	かなしい
たとえ	たとえ
受け入れる	うけいれる
どうしよう	どうしよう
味	あじ
迷う	まよう
手に入れる	てにいれる
どんどん	どんどん
関係ない	かんけいない
秘密	ひみつ
部	ぶ
例	れい
いずれ	いずれ
それにしても	それにしても
包む	つつむ
川	かわ
着く	つく
明らか	あきらか
そのもの	そのもの
地	ち
える	える
願う	ねがう
位置	いち
方向	ほうこう
戻す	もどす
一部	いちぶ
客	きゃく
薄い	うすい
よろしい	よろしい
調子	ちょうし
迎える	むかえる
流す	ながす
新た	あらた
平気	へいき
外す	はずす
かもしれません	かもしれません
改めて	あらためて
どれだけ	どれだけ
進める	すすめる
において	において
うるさい	うるさい
去る	さる
腹	はら
それ以上	それいじょう
くせに	くせに
たまに	たまに
と思われる	とおもわれる
間違う	まちがう
実際	じっさい
皆さん	みなさん
悩む	なやむ
迫る	せまる
まだまだ	まだまだ
第一	だいいち
友人	ゆうじん
練習	れんしゅう
と同時に	とどうじに
まさに	まさに
疑う	うたがう
目指す	めざす
右	みぎ
消す	けす
気に入る	きにいる
払う	はらう
性格	せいかく
それまで	それまで
かつて	かつて
遠く	とおく
今後	こんご
発見	はっけん
ことがない	ことがない
同じよう	おなじよう
希望	きぼう
ついに	ついに
集中	しゅうちゅう
万	まん
効果	こうか
意見	いけん
何より	なにより
そのこと	そのこと
息子	むすこ
訪れる	おとずれる
であれば	であれば
証拠	しょうこ
一日	いちにち
月	つき
遠慮	えんりょ
時	じ
名	めい
数	すう
実際に	じっさいに
暇	ひま
影響	えいきょう
相当	そうとう
なし	なし
のせいで	のせいで
建物	たてもの
ほぼ	ほぼ
重要	じゅうよう
せめて	せめて
後悔	こうかい
誰にも	だれにも
いなくなる	いなくなる
紹介	しょうかい
疑問	ぎもん
速い	はやい
抜く	ぬく
楽	らく
予想	よそう
超える	こえる
努力	どりょく
円	えん
立派	りっぱ
一方	いっぽう
確実	かくじつ
当時	とうじ
妻	つま
通う	かよう
流れ	ながれ
責任	せきにん
偶然	ぐうぜん
作業	さぎょう
運命	うんめい
どの	どの
伸びる	のびる
